id,popularity,explicit,availability,track_number,release_date,num_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
6iSanfZLGO9rbZVlA572ux,31,False,77,14,2007-11-01,1,0.589,0.846,11.0,-4.28,0.0,0.0366,0.0801,0.0,0.175,0.489,127.958,196667.0,4.0
6fEdWrEYspdneQMNIT33I4,68,True,78,10,2020-02-21,1,0.782,0.67,1.0,-4.332,0.0,0.358,0.118,0.0,0.0956,0.745,172.006,178655.0,4.0
6G1IM8i2JjABsJH3TPygAv,48,False,78,18,2017-01-20,1,0.801,0.803,7.0,-4.35,1.0,0.0486,0.313,0.0,0.121,0.665,119.928,169027.0,5.0
3px2rAPu74ltbkf9eZsZ8h,70,False,78,4,2016-01-15,1,0.562,0.904,1.0,-4.947,1.0,0.0807,0.00302,0.0,0.0433,0.651,94.481,158667.0,4.0
2FecJKgl4u9OHiH0ERkyQT,26,False,76,17,2019-11-22,1,0.654,0.884,9.0,-5.466,1.0,0.202,0.151,0.000268,0.379,0.851,124.072,190973.0,4.0
41MHwGoOI7RAhFmi7wHvXI,36,False,3,5,2020-02-28,1,0.502,0.91,7.0,-2.769,1.0,0.107,0.04,0.0,0.319,0.588,176.084,249215.0,4.0
6Txl336WEU1HyYPt2AT2ak,0,False,12,15,2013-11-04,1,0.55,0.808,10.0,-5.541,0.0,0.378,0.24,0.0,0.076,0.897,159.88,191013.0,4.0
2rMAtCaTj16NptyVfEIeAC,79,True,78,4,2019-05-17,2,0.921,0.635,1.0,-4.904,1.0,0.416,0.0218,0.0,0.0946,0.549,130.028,192540.0,4.0
5OjvvvG8LuKYrxJzhS6jnt,14,False,79,8,2010-12-24,1,0.546,0.88,4.0,-4.357,1.0,0.406,0.262,0.0,0.556,0.68,91.808,148680.0,4.0
1fjCwU6reiLs9AjUBRurQQ,4,False,78,18,2019-03-05,1,0.762,0.373,11.0,-9.599,0.0,0.332,0.729,6.04e-05,0.347,0.802,150.641,116720.0,4.0
0yGWeT0wjZSWrPt1i8jwn3,22,True,76,8,2014-05-27,2,0.6,0.837,7.0,-3.931,1.0,0.068,0.0553,0.0,0.289,0.145,111.323,287520.0,4.0
3WC5CVAahvn98hiseoIvbw,58,False,77,6,2012-10-22,1,0.661,0.729,7.0,-6.561,1.0,0.0376,0.00215,0.0013,0.0477,0.668,103.987,232120.0,4.0
2vnBDEUFoIb2SH5qI2IlDx,31,False,68,10,2008-01-01,1,0.356,0.678,0.0,-5.226,1.0,0.0374,0.255,0.0,0.094,0.136,160.652,212013.0,4.0
4GuUc80sAkekuBtwtev7de,7,False,78,6,2013-09-26,1,0.469,0.498,10.0,-9.219,1.0,0.0276,0.698,4.85e-05,0.249,0.667,97.908,159269.0,4.0
7795WJLVKJoAyVoOtCWqXN,82,False,78,5,2014-01-01,1,0.677,0.485,5.0,-5.795,1.0,0.0361,0.529,2.04e-05,0.0766,0.493,82.001,239317.0,4.0
40rMvmTT9RX4KB0JzMNYZO,59,False,79,8,2018-06-15,1,0.676,0.863,0.0,-3.924,1.0,0.0828,0.0674,0.0,0.0616,0.529,98.039,189630.0,4.0
0ff7MSTK8Y0b92TQCxjhm4,51,False,3,6,2020-02-28,1,0.385,0.798,9.0,-6.439,0.0,0.483,0.115,0.0,0.181,0.141,149.756,259821.0,4.0
7awgLzSiDJzWZnOf9Kr641,3,False,78,1,2018-01-01,1,0.448,0.766,3.0,-10.681,0.0,0.0691,0.0577,0.337,0.523,0.881,120.341,124160.0,4.0
7g9r6efJQND7uexbOU7iP9,33,False,2,4,2014-07-04,1,0.516,0.696,4.0,-5.626,1.0,0.124,0.112,0.0,0.115,0.278,143.853,249453.0,4.0
6dBsZGReFgOWACIwbdr6KK,0,False,1,8,2018-06-29,1,0.854,0.98,8.0,-3.779,1.0,0.0714,0.2,0.514,0.29,0.626,118.171,257120.0,4.0
4ZFBwWfyf9qurFLnc6Comq,32,False,79,1,2017-11-17,1,0.766,0.42,8.0,-11.844,0.0,0.389,0.0152,0.000108,0.0669,0.628,91.988,217174.0,4.0
30xa49phgSAa0MCAcH6O44,35,False,79,10,2015-01-09,1,0.336,0.515,3.0,-8.404,1.0,0.0438,0.447,0.0,0.338,0.27,185.454,198493.0,3.0
5XNhlUD7e3FjF7YQLgcihA,23,False,79,1,2018-04-06,2,0.505,0.252,5.0,-11.509,0.0,0.0573,0.771,0.0,0.0998,0.315,98.028,299827.0,4.0
5dUZWcuo0kVoRqdaAcEOg0,33,False,49,20,2009-01-01,2,0.294,0.94,11.0,-3.558,0.0,0.134,0.0444,0.0,0.986,0.549,158.064,348080.0,4.0
6JkrqiEXu4kDpbsjm0ub4W,0,False,0,3,2019-04-12,1,0.528,0.828,0.0,-8.482,0.0,0.0564,0.102,1.99e-05,0.0642,0.758,96.821,217947.0,4.0
2Ty4iVh6KhduvaW97kGve0,35,False,79,31,2020-01-10,2,0.704,0.876,7.0,-8.75,0.0,0.0382,0.0866,0.858,0.178,0.955,114.926,96975.0,4.0
3PpOATJSZiPypzAKP3LIo9,2,False,1,11,2018-12-14,3,0.413,0.643,4.0,-5.048,0.0,0.0515,0.161,0.0,0.062,0.112,169.988,211867.0,4.0
21em13iIWfjpFzXAcsaNTV,21,False,75,10,2019-08-02,3,0.456,0.393,7.0,-14.493,0.0,0.158,0.633,0.0,0.0862,0.717,174.882,235973.0,3.0
3sNMld8OCXNB7kMNSD9RD9,0,True,0,12,2019-12-06,1,0.676,0.92,2.0,-7.594,1.0,0.0452,0.0304,0.294,0.0873,0.202,119.912,158733.0,4.0
0INUhBWklOAg9GZ113Z3OC,10,False,23,7,2017-09-29,1,0.303,0.523,8.0,-6.113,0.0,0.0708,0.328,4.5e-06,0.119,0.3,77.89,197480.0,4.0
1SdyQYIFM05qkexCFKZxW1,37,False,77,8,2011-09-09,2,0.64,0.664,1.0,-7.812,1.0,0.152,0.267,0.0,0.329,0.275,140.007,330200.0,4.0
21BC6u2F5AZRDvH83M2q4P,31,False,79,4,2018-05-23,3,0.576,0.727,10.0,-4.27,1.0,0.0493,0.0827,0.0,0.195,0.697,93.914,183640.0,4.0
2hbTZS5ZMANmu6Abckyv3S,18,False,77,2,2019-08-09,1,0.714,0.0856,1.0,-14.804,1.0,0.924,0.951,0.0,0.096,0.835,132.613,40844.0,5.0
35gszESHsUjuryQUIigggH,0,False,10,6,2016-12-02,1,0.509,0.777,9.0,-3.458,0.0,0.204,0.0543,0.0,0.212,0.741,72.061,201387.0,4.0
4h7eztZTPoH0huty1rYlNw,24,False,78,11,2016-01-01,1,0.664,0.412,11.0,-15.215,0.0,0.943,0.712,0.0,0.571,0.405,77.87,168710.0,4.0
67L0j1qchycX9m959NOMVA,14,False,79,5,2019-12-13,1,0.617,0.639,5.0,-6.476,0.0,0.232,0.467,0.000159,0.174,0.771,164.98,140550.0,4.0
3X5hQE3OojrctTBsl4KcdG,29,False,76,10,2018-04-06,1,0.432,0.695,0.0,-4.577,1.0,0.049,0.421,0.0,0.0745,0.466,149.887,172160.0,4.0
2XGajFhMx4k2E6Ns1NvWX2,9,False,78,9,2002-06-25,2,0.372,0.808,8.0,-5.611,0.0,0.174,0.891,0.232,0.541,0.493,109.645,208747.0,4.0
3OXesBdYcfKqUUgCzNH5Lg,38,False,11,8,2013-01-01,1,0.4,0.366,8.0,-6.821,1.0,0.0398,0.828,0.0,0.111,0.625,77.317,220973.0,4.0
6WiZoC0DgaeguBtsRQS0Tv,28,False,78,2,2019-10-11,3,0.65,0.265,1.0,-15.357,1.0,0.0503,0.903,0.385,0.115,0.156,75.002,175734.0,4.0
3F7LKUuasfyLrNCS1thKq0,56,False,79,6,2019-08-30,2,0.616,0.949,1.0,-3.986,0.0,0.0546,0.00694,0.00997,0.368,0.101,130.017,253385.0,4.0
3ChMCksjJiy6Tkok2mCT56,8,False,79,20,2017-04-14,1,0.486,0.135,8.0,-7.952,1.0,0.0315,0.916,0.0,0.214,0.421,94.295,178911.0,4.0
0ZZqDwf3oey84BKn7JYHDY,18,False,79,22,2014-08-08,1,0.44,0.213,8.0,-16.364,1.0,0.0265,0.859,0.00339,0.105,0.304,89.778,198187.0,4.0
6Kp34Iy21gmqLs0uGmXXeH,2,False,1,12,2013-02-06,1,0.861,0.87,5.0,-4.198,1.0,0.139,0.166,0.0,0.306,0.812,130.054,151547.0,4.0
